,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
230,2016-02-02,Don't,Bryson Tiller,,31,34,7,31,False
231,2016-02-02,My House,Flo Rida,,32,50,2,32,False
232,2016-02-02,Cake By The Ocean,DNCE,,33,45,2,33,False
233,2016-02-02,Locked Away,R. City Featuring Adam Levine,,2,30,26,34,False
234,2016-02-02,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,35,39,3,35,False
235,2016-02-02,Down In The DM,Yo Gotti Featuring Nicki Minaj,,36,42,4,36,False
236,2016-02-02,Can't Feel My Face,The Weeknd,,1,32,33,37,False
237,2016-02-02,Break On Me.,Keith Urban,,38,41,3,38,False
238,2016-02-02,Gonna Know We Were Here,Jason Aldean,,16,27,16,39,False
239,2016-02-02,I Got The Boy,Jana Kramer,,25,25,11,40,False
240,2016-02-02,Adventure Of A Lifetime,Coldplay,,38,38,6,41,False
241,2016-02-02,Perfect,One Direction,,31,31,8,42,False
242,2016-02-02,Dibs,Kelsea Ballerini,,40,40,10,43,False
243,2016-02-02,Back To Sleep,Chris Brown,,44,0,1,44,True
244,2016-02-02,Lean On,Major Lazer & DJ Snake Featuring MO,,2,37,35,45,False
245,2016-02-02,We Went,Randy Houser,,46,48,4,46,False
246,2016-02-02,Heartbeat,Carrie Underwood,,47,0,1,47,True
247,2016-02-02,No Role Modelz,J. Cole,,32,47,10,48,False
248,2016-02-02,679,Fetty Wap Featuring Remy Boyz,,10,46,22,49,False
249,2016-02-02,Again,Fetty Wap,,46,49,6,50,False
250,2016-02-09,Sorry,Justin Bieber,,1,2,14,1,False
251,2016-02-09,Hello,Adele,,1,1,15,2,False
252,2016-02-09,Love Yourself,Justin Bieber,,3,4,7,3,False
253,2016-02-09,Stressed Out,twenty one pilots,,4,6,9,4,False
254,2016-02-09,Here,Alessia Cara,,3,3,18,5,False
255,2016-02-09,In The Night,The Weeknd,,6,8,11,6,False
256,2016-02-09,Same Old Love,Selena Gomez,,3,5,16,7,False
257,2016-02-09,Stitches,Shawn Mendes,,3,9,23,8,False
258,2016-02-09,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,7,18,9,False
259,2016-02-09,Roses,The Chainsmokers Featuring Rozes,,10,13,8,10,False
260,2016-02-09,Wildest Dreams,Taylor Swift,,1,11,22,11,False
261,2016-02-09,On My Mind,Ellie Goulding,,8,12,18,12,False
262,2016-02-09,Hotline Bling,Drake,,2,10,20,13,False
263,2016-02-09,When We Were Young,Adele,,14,15,6,14,False
264,2016-02-09,Ex's & Oh's,Elle King,,5,14,24,15,False
265,2016-02-09,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,16,20,8,16,False
266,2016-02-09,Out Of The Woods,Taylor Swift,,17,26,3,17,False
267,2016-02-09,Die A Happy Man,Thomas Rhett,,14,16,13,18,False
268,2016-02-09,Break Up In A Small Town,Sam Hunt,,19,22,11,19,False
269,2016-02-09,My House,Flo Rida,,20,32,3,20,False
270,2016-02-09,Hide Away,Daya,,21,23,8,21,False
271,2016-02-09,Say It,Tory Lanez,,22,24,11,22,False
272,2016-02-09,Jumpman,Drake & Future,,17,18,10,23,False
273,2016-02-09,The Hills,The Weeknd,,1,19,25,24,False
274,2016-02-09,Stay A Little Longer,Brothers Osborne,,17,17,15,25,False
275,2016-02-09,Cake By The Ocean,DNCE,,26,33,3,26,False
276,2016-02-09,Work,Rihanna Featuring Drake,,27,0,1,27,True
277,2016-02-09,Backroad Song,Granger Smith,,28,28,9,28,False
